TICKER,Classe,Categoria
RECV3,Ações,"Petróleo, Gás e Biocombustíveis"
RELG11,Fundos Imobiliários,Galpões logísticos
RENT3,Ações,Locação de Veículos
ROMI3,Ações,Máquinas e Equipamentos
ROXO34 | NU,Ações,Bancos
RSP,ETFs,S&P500 EUA
RURA11,Fundos Imobiliários,Fiagro
RVBI11,Fundos Imobiliários,Fundo de fundos
RZAG11,Fundos Imobiliários,Fiagro
RZAK11,Fundos Imobiliários,Recebíveis
RZTR11,Fundos Imobiliários,Agronegócio
S1LG34 | SLG,REITs,Office
S2TA34 | STAG,REITs,Industrial
SANB11,Ações,Bancos
SAPR11,Ações,Saneamento
SAPR4,Ações,Saneamento
SBUB34 | SBUX,Stocks,Consumer Cyclical
SCHH,ETFs,EUA Imobiliário
SEER3,Ações,Educação
SEQR11,Fundos Imobiliários,Híbrido
SGOV,ETFs,Renda Fixa EUA
SGOV | TFLO,ETFs,Renda Fixa EUA
SHUL4,Ações,Automotivo
SIMH3,Ações,Holding
SIMN34 | SPG,REITs,Retail
SLCE3,Ações,Agronegócio
SMAL11,ETFs,ETF de Small Caps brasileiras
SMAL11 | SMAC11,ETFs,ETF de Small Caps brasileiras
SMFT3,Ações,Academias
SNAG11,Fundos Imobiliários,Fiagro
SNCI11,Fundos Imobiliários,Recebíveis
SOJA3,Ações,Agronegócio
SPXB11 | SPY,ETFs,S&P500 EUA
SUZB3,Ações,Papel e Celulose
T1OW34 | AMT,REITs,Infrastructure
TAEE11,Ações,Energia
TASA4,Ações,Armas e Munições
TECK11,ETFs,Maiores empresas TECHs do mundo
TEPP11,Fundos Imobiliários,Lajes corporativas
TFLO,ETFs,Renda Fixa EUA
TGAR11,Fundos Imobiliários,Híbrido
TGMA3,Ações,Logística e Rodoviário
TIMS3,Ações,Comunicações
TORD11,Fundos Imobiliários,Híbrido
TOTS3,Ações,Software
TRBL11,Fundos Imobiliários,Galpões logísticos
TRIS3,Ações,Construção
TRXF11,Fundos Imobiliários,Híbrido
TSLA34 | TSLA,Stocks,Consumer Discretionary
TSMC34 | TSM,Stocks,Technology
TTEN3,Ações,Agronegócio
TUPY3,Ações,Automotivo
TVRI11,Fundos Imobiliários,Híbrido
ULEV34 | UL,Stocks,Household & Personal Products
UNIP6,Ações,Químicos
URPR11,Fundos Imobiliários,Recebíveis
USDB11 | BND,ETFs,Renda Fixa EUA
USIM5,Ações,Siderurgia
VALE3,Ações,Mineração
VAMO3,Ações,Locação de Veículos
VBBR3,Ações,"Petróleo, Gás e Biocombustíveis"
VEA,ETFs,Países Desenvolvidos Excluído EUA
VGHF11,Fundos Imobiliários,Hedge Fund
VGIA11,Fundos Imobiliários,Fiagro
VGIP11,Fundos Imobiliários,Recebíveis
VGIR11,Fundos Imobiliários,Recebíveis
VICI,REITs,Casino
VILG11,Fundos Imobiliários,Galpões logísticos
VINO11,Fundos Imobiliários,Lajes corporativas
VISA34 | V,Stocks,Transaction & Payment Processing Services
VISC11,Fundos Imobiliários,Shopping Centers
VIUR11,Fundos Imobiliários,Híbrido
VIVA3,Ações,Varejo
VIVT3,Ações,Comunicações
VNQI,ETFs,Imobiliário Global Excluído EUA
VPPR11,Fundos Imobiliários,Lajes Corporativas 
VRTA11,Fundos Imobiliários,Recebíveis
VSLH11,Fundos Imobiliários,Recebíveis
VULC3,Ações,Calçados
VWO,ETFs,Mercados Emergentes
VXUS,ETFs,Mercado Internacional Ex EUA
W1EL34 | WELL,REITs,Healthcare
WALM34 | WMT,Stocks,Consumer Services
WEGE3,Ações,Motores e Compressores
WIZC3,Ações,Seguros
WRLD11 | VT,ETFs,Mundo
XINA11 | MCHI,ETFs,China
XLRE,ETFs,EUA Imobiliário
XPBR31 | XP,Ações,Financeiro
XPIN11,Fundos Imobiliários,Galpões Industriais
XPLG11,Fundos Imobiliários,Galpões Logísticos
XPML11,Fundos Imobiliários,Shopping Centers
XPPR11,Fundos Imobiliários,Lajes Corporativas 
ALUG11,ETFs,EUA Imobiliário
KLBN11,Ações,Papel e Celulose
QQQ | QQQM,ETFs,EUA Tecnologia
IJJ | VIOV,ETFs,EUA Mid-Cap Valor
SVAL11 | IJS | IVOV,ETFs,EUA Small-Cap Valor
SAUD3,Ações,Saúde
PASS3,Ações,Gás
PLPL3,Ações,Construção Cívil
P2LT34 | PLTR,Stocks,Information Technology
MATD3,Ações,Saúde
TRXY11,Fundos Imobiliários,Hedge Fund
ASML34 | ASML,Stocks,Semiconductor
MBRF3,Ações,Alimentos
